sequence,k
OX,-0.5
OOX,-0.388
OOOX,-0.378
OOOOX,-0.377
OXO,0.842
OOXO,0.89
OOOXO,0.894
OOOOXO,0.894
OXX,-0.178
OOXX,0.0
OOOXX,0.026
OOOOXX,0.028
OXOO,0.299
OOXOO,0.314
OOOXOO,0.315
OOOOXOO,0.315
OXOX,-0.5
OOXOX,-0.439
OOOXOX,-0.432
OOOOXOX,-0.432
OXXO,1.0
OOXXO,1.122
OOOXXO,1.139
OOOOXXO,1.14
OXXX,0.194
OOXXX,0.449
OOOXXX,0.5
OOOOXXX,0.506
OXOOO,-0.157
OOXOOO,-0.154
OOOXOOO,-0.154
OOOOXOOO,-0.154
OXOOX,-0.878
OOXOOX,-0.861
OOOXOOX,-0.86
OOOOXOOX,-0.86
OXOXO,0.701
OOXOXO,0.737
OOOXOXO,0.741
OOOOXOXO,0.741
OXOXX,0.084
OOXOXX,0.169
OOOXOXX,0.181
OOOOXOXX,0.182
OXXOO,0.305
OOXXOO,0.372
OOOXXOO,0.38
OOOOXXOO,0.381
OXXOX,-0.305
OOXXOX,-0.169
OOOXXOX,-0.144
OOOOXXOX,-0.142
OXXXO,1.288
OOXXXO,1.5
OOOXXXO,1.544
OOOOXXXO,1.549
OXXXX,0.555
OOXXXX,0.897
OOOXXXX,0.985
OOOOXXXX,1.0
OXOOOO,-0.547
OOXOOOO,-0.547
OOOXOOOO,-0.547
OOOOXOOOO,-0.547
OXOOOX,-1.25
OOXOOOX,-1.247
OOOXOOOX,-1.246
OOOOXOOOX,-1.246
OXOOXO,0.372
OOXOOXO,0.38
OOOXOOXO,0.381
OOOOXOOXO,0.381
OXOOXX,-0.169
OOXOOXX,-0.144
OOOXOOXX,-0.142
OOOOXOOXX,-0.142
OXOXOO,0.022
OOXOXOO,0.039
OOOXOXOO,0.04
OOOOXOXOO,0.04
OXOXOX,-0.5
OOXOXOX,-0.458
OOOXOXOX,-0.453
OOOOXOXOX,-0.453
OXOXXO,1.169
OOXOXXO,1.237
OOOXOXXO,1.247
OOOOXOXXO,1.248
OXOXXX,0.611
OOXOXXX,0.732
OOOXOXXX,0.756
OOOOXOXXX,0.758
OXXOOO,-0.296
OOXXOOO,-0.266
OOOXXOOO,-0.263
OOOOXXOOO,-0.263
OXXOOX,-0.831
OOXXOOX,-0.763
OOOXXOOX,-0.753
OOOOXXOOX,-0.752
OXXOXO,0.831
OOXXOXO,0.935
OOOXXOXO,0.952
OOOOXXOXO,0.954
OXXOXX,0.296
OOXXOXX,0.463
OOOXXOXX,0.5
OOOOXXOXX,0.504
OXXXOO,0.5
OOXXXOO,0.648
OOOXXXOO,0.678
OOOOXXXOO,0.681
OXXXOX,-0.043
OOXXXOX,0.187
OOOXXXOX,0.244
OOOOXXXOX,0.252
OXXXXO,1.603
OOXXXXO,1.917
OOOXXXXO,2.0
OOOOXXXXO,2.014
OXXXXX,0.893
OOXXXXX,1.329
OOOXXXXX,1.465
OOOOXXXXX,1.496
XO,0.5
XXO,0.388
XXXO,0.378
XXXXO,0.377
XOX,-0.842
XXOX,-0.89
XXXOX,-0.894
XXXXOX,-0.894
XOO,0.178
XXOO,0.0
XXXOO,-0.026
XXXXOO,-0.028
XOXX,-0.299
XXOXX,-0.314
XXXOXX,-0.315
XXXXOXX,-0.315
XOXO,0.5
XXOXO,0.439
XXXOXO,0.432
XXXXOXO,0.432
XOOX,-1.0
XXOOX,-1.122
XXXOOX,-1.139
XXXXOOX,-1.14
XOOO,-0.194
XXOOO,-0.449
XXXOOO,-0.5
XXXXOOO,-0.506
XOXXX,0.157
XXOXXX,0.154
XXXOXXX,0.154
XXXXOXXX,0.154
XOXXO,0.878
XXOXXO,0.861
XXXOXXO,0.86
XXXXOXXO,0.86
XOXOX,-0.701
XXOXOX,-0.737
XXXOXOX,-0.741
XXXXOXOX,-0.741
XOXOO,-0.084
XXOXOO,-0.169
XXXOXOO,-0.181
XXXXOXOO,-0.182
XOOXX,-0.305
XXOOXX,-0.372
XXXOOXX,-0.38
XXXXOOXX,-0.381
XOOXO,0.305
XXOOXO,0.169
XXXOOXO,0.144
XXXXOOXO,0.142
XOOOX,-1.288
XXOOOX,-1.5
XXXOOOX,-1.544
XXXXOOOX,-1.549
XOOOO,-0.555
XXOOOO,-0.897
XXXOOOO,-0.985
XXXXOOOO,-1.0
XOXXXX,0.547
XXOXXXX,0.547
XXXOXXXX,0.547
XXXXOXXXX,0.547
XOXXXO,1.25
XXOXXXO,1.247
XXXOXXXO,1.246
XXXXOXXXO,1.246
XOXXOX,-0.372
XXOXXOX,-0.38
XXXOXXOX,-0.381
XXXXOXXOX,-0.381
XOXXOO,0.169
XXOXXOO,0.144
XXXOXXOO,0.142
XXXXOXXOO,0.142
XOXOXX,-0.022
XXOXOXX,-0.039
XXXOXOXX,-0.04
XXXXOXOXX,-0.04
XOXOXO,0.5
XXOXOXO,0.458
XXXOXOXO,0.453
XXXXOXOXO,0.453
XOXOOX,-1.169
XXOXOOX,-1.237
XXXOXOOX,-1.247
XXXXOXOOX,-1.248
XOXOOO,-0.611
XXOXOOO,-0.732
XXXOXOOO,-0.756
XXXXOXOOO,-0.758
XOOXXX,0.296
XXOOXXX,0.266
XXXOOXXX,0.263
XXXXOOXXX,0.263
XOOXXO,0.831
XXOOXXO,0.763
XXXOOXXO,0.753
XXXXOOXXO,0.752
XOOXOX,-0.831
XXOOXOX,-0.935
XXXOOXOX,-0.952
XXXXOOXOX,-0.954
XOOXOO,-0.296
XXOOXOO,-0.463
XXXOOXOO,-0.5
XXXXOOXOO,-0.504
XOOOXX,-0.5
XXOOOXX,-0.648
XXXOOOXX,-0.678
XXXXOOOXX,-0.681
XOOOXO,0.043
XXOOOXO,-0.187
XXXOOOXO,-0.244
XXXXOOOXO,-0.252
XOOOOX,-1.603
XXOOOOX,-1.917
XXXOOOOX,-2.0
XXXXOOOOX,-2.014
XOOOOO,-0.893
XXOOOOO,-1.329
XXXOOOOO,-1.465
XXXXOOOOO,-1.496
